login,link,followers,following,follow_ratio,public_repos,contributions,stars,total_size,user_feedback,aura,most_popular_repo_forked
crazyg77,https://github.com/crazyg77,5.0,0.0,0.0,2.0,0.0,2.0,144.0,0,-3636,False
who90210,https://github.com/who90210,5.0,0.0,0.0,1.0,0.0,1.0,1086.0,0,-1734,True
eamorimoto,https://github.com/eamorimoto,5.0,0.0,0.0,2.0,0.0,2.0,124.0,0,1,False
crbrown,https://github.com/crbrown,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-12891,
t-mart,https://github.com/t-mart,31.0,27.0,1.148148148148148,149.0,858.0,15.0,307328.0,0,50,False
uncscott,https://github.com/uncscott,3.0,0.0,0.0,3.0,0.0,1.0,30536.0,0,69696969,True
unklegeorge,https://github.com/unklegeorge,4.0,1.0,4.0,3.0,0.0,8.0,621.0,0,560,False
garrettwinder,https://github.com/garrettwinder,23.0,10.0,2.3,0.0,0.0,0.0,0.0,0,-5262,
gnijgnaw,https://github.com/gnijgnaw,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2378,
ndhoward,https://github.com/ndhoward,3.0,0.0,0.0,1.0,0.0,6.0,7604.0,0,100,False
urashid,https://github.com/urashid,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8234,
turjoseu,https://github.com/turjoseu,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8174,
raimundohamilton,https://github.com/raimundohamilton,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
hapeshericus,https://github.com/hapeshericus,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8125,
jamesl22,https://github.com/jamesl22,3.0,0.0,0.0,1.0,0.0,1.0,224.0,0,-2384,False
amandassoaps,https://github.com/amandassoaps,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4242,
spanishhighs,https://github.com/spanishhighs,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,False
Vespertinus,https://github.com/Vespertinus,8.0,12.0,0.6666666666666666,7.0,2.0,0.0,671394.0,0,-8573,True
TeamSchneider,https://github.com/TeamSchneider,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-6282,
actiondocta,https://github.com/actiondocta,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5252,
milenko1,https://github.com/milenko1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5726,
Nanard,https://github.com/Nanard,2.0,1.0,2.0,22.0,1.0,0.0,172802.0,0,208,True
lovez9,https://github.com/lovez9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9246,
CloudAppers,https://github.com/CloudAppers,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,69696969,
tankista,https://github.com/tankista,14.0,12.0,1.1666666666666667,15.0,567.0,33.0,153495.0,0,9984,False
newsmyduckgi,https://github.com/newsmyduckgi,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-7007,
aplactuan,https://github.com/aplactuan,2.0,0.0,0.0,27.0,5.0,4.0,51111.0,0,-2374,False
brundage,https://github.com/brundage,15.0,27.0,0.5555555555555556,40.0,51.0,7.0,13545.0,0,563,False
bobodod,https://github.com/bobodod,5.0,2.0,2.5,0.0,0.0,0.0,0.0,0,0,
jpbvt,https://github.com/jpbvt,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-8346,
